timestamp,Lux
1643750651.941186,25.37
1643750652.0121,25.37
1643750652.076711,25.37
1643750652.140855,25.37
1643750652.205024,25.16
1643750652.269213,25.16
1643750652.333424,25.16
1643750652.39757,25.16
1643750652.461753,25.16
1643750652.525297,25.16
1643750652.589401,25.16
1643750652.653706,25.16
1643750652.717879,25.22
1643750652.782047,25.22
1643750652.84569,25.22
1643750652.909862,25.22
1643750652.974021,25.22
1643750653.037987,25.22
1643750653.10229,25.22
1643750653.165908,24.79
1643750653.230045,24.79
1643750653.294219,24.79
1643750653.35838,24.79
1643750653.422616,24.79
1643750653.486728,24.79
1643750653.550266,24.79
1643750653.614544,24.79
1643750653.678702,24.64
1643750653.742882,24.64
1643750653.807101,24.64
1643750653.870695,24.64
1643750653.934609,24.64
1643750653.999027,24.64
1643750654.063143,24.64
1643750654.127275,24.64
1643750654.1909,22.61
1643750654.25507,22.61
1643750654.319236,22.61
1643750654.383406,22.61
1643750654.44757,22.61
1643750654.51175,22.61
1643750654.575343,22.61
1643750654.639572,22.61
1643750654.703735,21.36
1643750654.767763,21.36
1643750654.83208,21.36
1643750654.895731,21.36
1643750654.95988,21.36
1643750655.02396,21.36
1643750655.088159,21.36
1643750655.152304,21.36
1643750655.215943,21.11
1643750655.279974,21.11
1643750655.344295,21.11
1643750655.408445,21.11
1643750655.472638,21.11
1643750655.536853,21.11
1643750655.600466,21.11
1643750655.664607,22.01
1643750655.728822,22.01
1643750655.792957,22.01
1643750655.85716,22.01
1643750655.920771,22.01
1643750655.984937,22.01
1643750656.048878,22.01
1643750656.113271,22.01
1643750656.177385,21.740000000000002
1643750656.24099,21.740000000000002
1643750656.305207,21.740000000000002
1643750656.369375,21.740000000000002
1643750656.433426,21.740000000000002
1643750656.497699,21.740000000000002
1643750656.561921,21.740000000000002
1643750656.625544,21.740000000000002
1643750656.689687,21.71
1643750656.753864,21.71
1643750656.818015,21.71
1643750656.882119,21.71
1643750656.945832,21.71
1643750657.009989,21.71
1643750657.074102,21.71
1643750657.138226,21.71
1643750657.202382,21.990000000000002
1643750657.266022,21.990000000000002
1643750657.330195,21.990000000000002
1643750657.394356,21.990000000000002
1643750657.458521,21.990000000000002
1643750657.522694,21.990000000000002
1643750657.58671,21.990000000000002
1643750657.650526,21.990000000000002
1643750657.714722,22.04
1643750657.778869,22.04
1643750657.843023,22.04
1643750657.907082,22.04
1643750657.970841,22.04
1643750658.034837,22.04
1643750658.099067,22.04
1643750658.163237,22.06
1643750658.227429,22.06
1643750658.291582,22.06
1643750658.355215,22.06
1643750658.419395,22.06
1643750658.483573,22.06
1643750658.547586,22.06
1643750658.611911,22.06
1643750658.675553,23.69
1643750658.739715,23.69
1643750658.803918,23.69
1643750658.868066,23.69
1643750658.932135,23.69
1643750658.995739,23.69
1643750659.059848,23.69
1643750659.123967,23.69
1643750659.188299,25.57
1643750659.252451,25.57
1643750659.316623,25.57
1643750659.38026,25.57
1643750659.444434,25.57
1643750659.508602,25.57
1643750659.572868,25.57
1643750659.636952,25.57
1643750659.70058,27.18
1643750659.76481,27.18
1643750659.829009,27.18
1643750659.893164,27.18
1643750659.957208,27.18
1643750660.020816,27.18
1643750660.084883,27.18
1643750660.149171,27.18
1643750660.213373,27.3
1643750660.277511,27.3
1643750660.341708,27.3
1643750660.405332,27.3
1643750660.46933,27.3
1643750660.533692,27.3
1643750660.597859,27.3
1643750660.66201,27.3
1643750660.725646,27.09
1643750660.789667,27.09
1643750660.854,27.09
1643750660.91804,27.09
1643750660.982224,27.09
1643750661.045939,27.09
1643750661.110014,27.09
1643750661.174167,27.26
1643750661.238349,27.26
1643750661.302502,27.26
1643750661.36669,27.26
1643750661.430353,27.26
1643750661.494509,27.26
1643750661.558541,27.26
1643750661.622844,27.26
1643750661.687006,27.310000000000002
1643750661.750676,27.310000000000002
1643750661.814671,27.310000000000002
1643750661.878982,27.310000000000002
1643750661.943051,27.310000000000002
1643750662.007229,27.310000000000002
1643750662.070768,27.310000000000002
1643750662.135064,27.310000000000002
1643750662.1992,27.26
1643750662.263348,27.26
1643750662.327511,27.26
1643750662.3917,27.26
1643750662.455329,27.26
1643750662.519496,27.26
1643750662.58353,27.26
1643750662.64788,27.26
1643750662.712006,27.0
1643750662.775539,27.0
1643750662.839837,27.0
1643750662.90401,27.0
1643750662.968064,27.0
1643750663.032235,27.0
1643750663.095937,27.0
1643750663.160058,27.0
1643750663.22422,26.78
1643750663.288401,26.78
1643750663.352582,26.78
1643750663.416726,26.78
1643750663.48038,26.78
1643750663.54444,26.78
1643750663.608727,26.78
1643750663.67289,26.650000000000002
1643750663.737168,26.650000000000002
1643750663.800719,26.650000000000002
1643750663.864884,26.650000000000002
1643750663.928966,26.650000000000002
1643750663.993154,26.650000000000002
1643750664.057178,26.650000000000002
1643750664.120941,26.650000000000002
1643750664.185124,26.580000000000002
1643750664.249306,26.580000000000002
1643750664.313472,26.580000000000002
1643750664.377635,26.580000000000002
1643750664.441801,26.580000000000002
1643750664.505462,26.580000000000002
1643750664.569496,26.580000000000002
1643750664.633815,26.580000000000002
